N,P,K,temperature,humidity,ph,rainfall,label,,,,,,,,,,,,,,,,,,,,,
12.278751112016568,60.84855244365177,21.734162464196885,22.262702662721228,64.42862151352959,7.693798898417981,45.16432222193471,lentil,,,,,,,,,,,,,,,,,,,,,
17.164194004606905,73.86021028289782,18.31318239963449,15.84806783441301,22.221386662755663,5.636866691851595,93.28167038692564,kidneybeans,,,,,,,,,,,,,,,,,,,,,
25,35,20,28.90245417,43.35365671,8.923095695,71.90018566,mothbeans,,,,,,,,,,,,,,,,,,,,,
20.835082550828915,66.70637721576111,75.80916213404373,18.855520934115777,14.25803981,6.391961565407193,75.09897737519543,chickpea,,,,,,,,,,,,,,,,,,,,,
67.10504317264844,43.78497494305415,42.43483088461729,24.70734785226329,81.84012960775244,6.477920603847067,177.18688132060893,rice,,,,,,,,,,,,,,,,,,,,,
83.48282362747126,45.651529526347275,45.721322509424226,24.437005355145736,80.26096981447655,6.815898429530354,177.89284767751474,jute,,,,,,,,,,,,,,,,,,,,,
6.820462104193635,73.5727695481016,21.277421359859222,25.827276242988344,64.03427936704352,6.7301889668163,39.999449553136955,lentil,,,,,,,,,,,,,,,,,,,,,
82,26,47,28.50416396,93.46806467,6.565312652999999,24.20007242,muskmelon,,,,,,,,,,,,,,,,,,,,,
42,59,55,40.10207731,94.35110201,6.979102243,149.1199989,papaya,,,,,,,,,,,,,,,,,,,,,
48.32530340954342,71.7626588709112,15.143795950620328,31.75843105635038,67.7338957614516,7.173365972867013,74.6184502352921,blackgram,,,,,,,,,,,,,,,,,,,,,
89,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649,maize,,,,,,,,,,,,,,,,,,,,,
15.921345112600381,6.2064650688722764,14.841029728847925,31.444285285412846,89.32107660082043,7.155936133667964,114.73868300253055,orange,,,,,,,,,,,,,,,,,,,,,
44,58,18,28.03644051,65.06601664,6.814410927999999,72.49507741,blackgram,,,,,,,,,,,,,,,,,,,,,
89.36296455475491,21.75896910411233,27.48709236642205,24.326907436766174,65.07338799976584,7.159562013178418,181.71734451910254,coffee,,,,,,,,,,,,,,,,,,,,,
78.52377431275232,41.33517663139534,40.96170503979336,24.892577108456372,76.85057688245637,6.544308474685082,178.0469243827446,jute,,,,,,,,,,,,,,,,,,,,,
29,11,5,23.13338811,91.94670335,7.639788459,104.4224145,orange,,,,,,,,,,,,,,,,,,,,,
25,57,19,17.15432954,19.87070659,5.566522896,87.99669731,kidneybeans,,,,,,,,,,,,,,,,,,,,,
31.96975778720501,74.71858618575057,19.238536610593602,19.060685905612992,21.81366405834144,5.777905348164603,90.15831371891697,kidneybeans,,,,,,,,,,,,,,,,,,,,,
14.733536648217907,79.6459336506238,16.068326756877713,22.222370355980768,61.47293439883789,5.843671859054213,89.42277294299609,pigeonpeas,,,,,,,,,,,,,,,,,,,,,
34.63909276177566,58.41651659593405,82.86074441611191,19.331632280973086,18.66036903089717,7.355857043719659,71.05397859919154,chickpea,,,,,,,,,,,,,,,,,,,,,
74.64512545607069,53.98799900684136,17.948077757712856,19.760565959564023,61.552490227308965,6.347737274946712,99.03029087172841,maize,,,,,,,,,,,,,,,,,,,,,
20.543807115531475,73.85317785098462,22.53115925771472,23.354176382021983,19.49553694374203,5.5080609082953575,96.83175747256226,kidneybeans,,,,,,,,,,,,,,,,,,,,,
37.606377653606415,67.17195529236575,81.50569236210146,19.934072509644956,16.65737973401254,8.262148585433033,85.82604247954521,chickpea,,,,,,,,,,,,,,,,,,,,,
28.226261858322324,63.81905079973833,24.437183485545226,20.920082216872906,59.20223668649197,4.388352791746634,157.36044101187358,pigeonpeas,,,,,,,,,,,,,,,,,,,,,
81.12140944876855,43.7315182190829,19.90578643241683,20.488054968947406,66.89994026754151,6.537482923924268,72.46927997726897,maize,,,,,,,,,,,,,,,,,,,,,
95.54449793938335,12.424254794684424,52.83799287653151,30.06813810506445,92.7493752274705,6.113027859844121,27.181737246349357,muskmelon,,,,,,,,,,,,,,,,,,,,,
9.827920886492624,70.58318583582219,19.589820716690472,28.801317757625725,57.21308286026166,6.52496804546143,158.28057777774538,pigeonpeas,,,,,,,,,,,,,,,,,,,,,
104.08562849393827,39.76968472464415,29.939861054460607,27.11938712011674,56.07588919378883,6.392995598302379,142.76910882226764,coffee,,,,,,,,,,,,,,,,,,,,,
32.85313218531138,17.19418381694398,41.403793143633244,24.795025646559168,90.2105423800451,5.610544460327894,108.96228903637096,pomegranate,,,,,,,,,,,,,,,,,,,,,
112.66798546671272,17.287767244592782,48.54334065247188,29.578017487289827,90.96855177045205,6.460543931152954,26.629274486698666,muskmelon,,,,,,,,,,,,,,,,,,,,,
28.11302553844666,21.452837090091975,15.474298281636642,12.912018140691458,91.89301620683237,6.914329052320723,110.12240508576426,orange,,,,,,,,,,,,,,,,,,,,,
83,94,47,27.39872329,81.10523402,6.469370954,112.1355384,banana,,,,,,,,,,,,,,,,,,,,,
22.83191885072363,41.3177060127552,18.47166198513909,29.706949580280398,58.8659299719887,5.93157681208303,38.094086592568544,mothbeans,,,,,,,,,,,,,,,,,,,,,
